"ids","mesh_model_coordinates:0","mesh_model_coordinates:1","mesh_model_coordinates:2","temp"
338,2.3333e+02,-1.2500e+02,-2.3250e+02,3.0017e+02
339,2.6667e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
340,2.6667e+02,-1.2500e+02,-2.3250e+02,3.0011e+02
341,3.0000e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
342,3.0000e+02,-1.2500e+02,-2.3250e+02,3.0007e+02
343,3.3333e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
344,3.3333e+02,-1.2500e+02,-2.3250e+02,3.0004e+02
345,3.6667e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
346,3.6667e+02,-1.2500e+02,-2.3250e+02,3.0002e+02
347,4.0000e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
348,4.0000e+02,-1.2500e+02,-2.3250e+02,3.0001e+02
349,4.3333e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
350,4.3333e+02,-1.2500e+02,-2.3250e+02,3.0000e+02
351,4.6667e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
352,4.6667e+02,-1.2500e+02,-2.3250e+02,3.0000e+02
353,5.0000e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
354,5.0000e+02,-1.2500e+02,-2.3250e+02,3.0000e+02
355,5.3333e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
356,5.3333e+02,-1.2500e+02,-2.3250e+02,3.0000e+02
357,5.6667e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
358,5.6667e+02,-1.2500e+02,-2.3250e+02,3.0000e+02
359,6.0000e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
360,6.0000e+02,-1.2500e+02,-2.3250e+02,3.0000e+02
361,6.3333e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
362,6.3333e+02,-1.2500e+02,-2.3250e+02,3.0000e+02
363,6.6667e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
364,6.6667e+02,-1.2500e+02,-2.3250e+02,3.0000e+02
365,7.0000e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
366,7.0000e+02,-1.2500e+02,-2.3250e+02,3.0000e+02
367,7.3333e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
368,7.3333e+02,-1.2500e+02,-2.3250e+02,3.0000e+02
369,7.6667e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
370,7.6667e+02,-1.2500e+02,-2.3250e+02,3.0000e+02
371,8.0000e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
372,8.0000e+02,-1.2500e+02,-2.3250e+02,3.0000e+02
